Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x4d285adf01cafdeea20c0711c9722bf691b40d8aea30a329c975eabdeb7549eb","Success","Transfer","15479088","2022-09-05 17:21:56","0x0ec6ad436fee9c71f2a3ad785863ec62c70169ba","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x6676e87dd6f09557a889962e2446cba45768e1e202483b4c0691d2ab3040665d","Success","Transfer","15479088","2022-09-05 17:21:56","0x419ddf0b83530f2381caa688b7c24901b8150f66","","0x038d8c9f84f9f0b52adf944083bbcdaf144dcbbf","","0.001 ETH","$3.84","0.000189"
"0x3f998b6c04c2283509fe0d32a8f875a7c764a10639abeacef76c11914224d0d4","Success","Transfer","15479088","2022-09-05 17:21:56","0x66cf4c132af9341ee1ba4f60becebfe67b001a2f","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.01472961 ETH","$56.60","0.000189"
"0xdae9cc280ac14c37fc36dfa36ff89e6e69f488aa890bbd85d85b14a0bfeb57fd","Success","Transfer","15479088","2022-09-05 17:21:56","0xb3c61b950d7c0a39f455d6633a50b4230bae33d3","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xc6fad901cb2726e28fda3a8db312f360b834dabf97a7a908458f8c00eb391592","Success","Transfer","15479088","2022-09-05 17:21:56","0x0ed5b89525c9fc2ec1f54d2cd1bafba79ec19e44","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xade2b4236c2bc8789dcbcf16e6f4ab71092f278c950a50bc0cb2a75909bfa5fb","Success","Transfer","15479088","2022-09-05 17:21:56","0x8fc5905837790f42a44d73ce42622daaf793d59a","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x239d3a93988161560f7439a025ff36e50b6ee8008fa2d68f3e505675f94d02f9","Success","Transfer","15479088","2022-09-05 17:21:56","0xfbda142df1cdd6dbafba771cd17de8ac285ff1fc","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x4813c33379dc8d6905d32a4e7d46b499f6d8663ff525dc53e6e4c6c82ee3421b","Success","Transfer","15479088","2022-09-05 17:21:56","0x4c7e6059faff3012f5d489ada5edd56ee6283eec","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0xf24811751c7055a45d5e89d8dc6da41e6c14f31d75da59aaa487134fbe97c535","Success","Transfer","15479088","2022-09-05 17:21:56","0x888f432ec01ec0d168c6b7c8639256b77c16f7cd","","0x8683bbbe511b269f1b9dc0108fb6b267ea764f8e","bigbozo.eth","0.014729502 ETH","$56.60","0.000189"
"0x9886969df8101af08f6bc1657e88711d32d98111fdf0a3314418d5287a169893","Success","Send To","15479088","2022-09-05 17:21:56","0x6440200c1f94976da537ec1ec7ec5fbb1441244e","","0xff43eb7480a55f66c3f1243852ff6f0798a0b6db","","0.000746667 ETH","$2.87","0.00028124"
"0x2170d39913de9a9d1662e0bfd00348f04c59e19d0753e916d9fdb1d8783f581a","Success","Withdraw ETH","15479088","2022-09-05 17:21:56","0xf725304d19bba30f0f975827c234b77327b1667b","","0x92e929d8b2c8430bcaf4cd87654789578bb2b786","","0 ETH","$0.00","0.00031782"
"0xa3be22bba0a87b0f2630924203bdfc08b901c676ba5bca76c9208abcec419ecd","Success","0xcba9bc66","15479088","2022-09-05 17:21:56","0x2de6948273164e0e518ec044d37d0bc788d33812","","0x6fbf1b6a681307f86c2d212f0f6ad72621309ef1","","0.068 ETH","$261.29","0.00160805"
